Country__or_dependency_,Population__2020_,Yearly_Change,Net_Change,Density__P_Km___,Land_Area__Km___,Migrants__net_,Fert__Rate,Med__Age,Urban_Pop__,World_Share
Syria,17410293,0.0252,430523,95,183630,-427391.0,2.8,26,60 %,0.0022
Cambodia,16671185,0.0141,232423,95,176520,-30000.0,2.5,26,24 %,0.0021
Bolivia,11640159,0.0139,159921,11,1083300,-9504.0,2.8,26,69 %,0.0015
Paraguay,7114524,0.0125,87902,18,397300,-16556.0,2.4,26,62 %,0.0009
Nicaragua,6608366,0.0121,79052,55,120340,-21272.0,2.4,26,57 %,0.0008
Kyrgyzstan,6501804,0.0169,108345,34,191800,-4000.0,3.0,26,36 %,0.0008
Turkmenistan,6012850,0.015,89111,13,469930,-5000.0,2.8,27,53 %,0.0008
Djibouti,985027,0.0148,14440,43,23180,900.0,2.8,27,79 %,0.0001
Guyana,785788,0.0048,3786,4,196850,-6000.0,2.5,27,27 %,0.0001
India,1377233523,0.0098999999999999991,13586631,464,2973190,-532687.0,2.2,28,35 %,0.177
Bangladesh,164354176,0.0101,1643222,1265,130170,-369501.0,2.1,28,39 %,0.021099999999999997
South Africa,59154802,0.0128,750420,49,1213090,145405.0,2.4,28,67 %,0.0076
Uzbekistan,33368859,0.0148,487487,79,425400,-8863.0,2.4,28,50 %,0.0043
Ecuador,17587526,0.0155,269392,71,248360,36400.0,2.4,28,63 %,0.0023
Dominican Republic,10825682,0.0101,108952,225,48320,-30000.0,2.4,28,85 %,0.0014000000000000002
El Salvador,6479609,0.0051,32652,313,20720,-40539.0,2.1,28,73 %,0.0008
Mongolia,3267320,0.0165,53123,2,1553560,-852.0,2.9,28,67 %,0.0004
Fiji,895128,0.0073,6492,49,18270,-6202.0,2.8,28,59 %,0.0001
Bhutan,769867,0.011200000000000002,8516,20,38117,320.0,2.0,28,46 %,0.0001
Western Sahara,594215,0.0255,14876,2,266000,5582.0,2.4,28,87 %,0.0001
Cabo Verde,554750,0.011000000000000001,6052,138,4030,-1342.0,2.3,28,68 %,0.0001
Mexico,128655589,0.0106,1357224,66,1943950,-60000.0,2.1,29,84 %,0.0165
Myanmar,54335948,0.0067,364380,83,653290,-163313.0,2.2,29,31 %,0.0069999999999999993
Algeria,43685618,0.018500000000000003,797990,18,2381740,-10000.0,3.1,29,73 %,0.0056000000000000008
Libya,6852010,0.0138,93840,4,1759540,-1999.0,2.3,29,78 %,0.0009
Suriname,585561,0.0090000000000000011,5260,4,156000,-1000.0,2.4,29,65 %,0.0001
Indonesia,272931713,0.010700000000000001,2898047,151,1811570,-98955.0,2.3,30,56 %,0.0351
Morocco,36820713,0.012,438791,83,446300,-51419.0,2.4,30,64 %,0.0046999999999999993
Malaysia,32280610,0.013000000000000001,416222,99,328550,50000.0,2.0,30,78 %,0.0042
Venezuela,28451828,-0.0028000000000000004,-79889,32,882050,-653249.0,2.3,30,N.A.,0.0036
Israel,8627444,0.016,136158,400,21640,10000.0,3.0,30,93 %,0.0011
Lebanon,6831445,-0.0044,-30268,667,10230,-30012.0,2.1,30,78 %,0.0009
Panama,4300667,0.0161,68328,58,74340,11200.0,2.5,30,68 %,0.0006
Maldives,538558,0.0181,9591,1802,300,11370.0,1.9,30,35 %,0.0001
Colombia,50771878,0.0108,543448,46,1109500,204796.0,1.8,31,80 %,0.0065000000000000006
Peru,32876986,0.014199999999999999,461401,26,1280000,99069.0,2.3,31,79 %,0.0042
Kazakhstan,18730568,0.0121,225280,7,2699700,-18000.0,2.8,31,58 %,0.0024
Oman,5078933,0.0265,131640,16,309500,87400.0,2.9,31,87 %,0.0007000000000000001
Jamaica,2958567,0.0044,12888,273,10830,-11332.0,2.0,31,55 %,0.0004
Guam,168474,0.0089,1481,313,540,-506.0,2.3,31,95 %,0.0
Vietnam,97160127,0.0091,876473,314,310070,-80000.0,2.1,32,38 %,0.0125
Turkey,84153250,0.0109,909452,110,769630,283922.0,2.1,32,76 %,0.0108
Iran,83771587,0.013000000000000001,1079043,52,1628550,-55000.0,2.2,32,76 %,0.0108
Argentina,45111229,0.009300000000000001,415097,17,2736690,4800.0,2.3,32,93 %,0.0058
Saudi Arabia,34701377,0.0159,545343,16,2149690,134979.0,2.3,32,84 %,0.0045000000000000005
Azerbaijan,10120555,0.0091,91459,123,82658,1200.0,2.1,32,56 %,0.0013
Qatar,2870922,0.0173,48986,248,11610,40000.0,1.9,32,96 %,0.0004
Bahrain,1688629,0.0368,60403,2239,760,47800.0,2.0,32,89 %,0.0002
Brunei,436624,0.0097,4194,83,5270,0.0,1.8,32,80 %,0.0001
Bahamas,392477,0.0097,3762,39,10010,1000.0,1.8,32,86 %,0.0001
Grenada,112418,0.0046,520,331,340,-200.0,2.1,32,35 %,0.0
Brazil,212253150,0.0072,1509890,25,8358140,21200.0,1.7,33,88 %,0.0273
Tunisia,11793319,0.0106,123900,76,155360,-4000.0,2.2,33,70 %,0.0015
United Arab Emirates,9865845,0.0123,119873,118,83600,40000.0,1.4,33,86 %,0.0013
Costa Rica,5084636,0.0092,46557,100,51060,4200.0,1.8,33,80 %,0.0007000000000000001
St. Vincent & Grenadines,110869,0.0032,351,284,390,-200.0,1.9,33,53 %,0.0
Sri Lanka,21395196,0.0042,89516,341,62710,-97986.0,2.2,34,18 %,0.0027
New Caledonia,284938,0.0097,2748,16,18280,502.0,2.0,34,72 %,0.0
French Polynesia,280580,0.0058,1621,77,3660,-1000.0,2.0,34,64 %,0.0
Saint Lucia,183458,0.0046,837,301,610,0.0,1.4,34,19 %,0.0
Seychelles,98224,0.0062,608,214,460,-200.0,2.5,34,56 %,0.0
Antigua and Barbuda,97764,0.0084,811,223,440,0.0,2.0,34,26 %,0.0
North Korea,25756088,0.0044,112655,214,120410,-5403.0,1.9,35,63 %,0.0033
Chile,19082804,0.0087,164163,26,743532,111708.0,1.7,35,85 %,0.0025
Armenia,2962137,0.0019,5512,104,28470,-4998.0,1.8,35,63 %,0.0004
Uruguay,3471314,0.0034999999999999996,11996,20,175020,-3000.0,2.0,36,96 %,0.0004
Albania,2878420,-0.0011,-3120,105,27400,-14000.0,1.6,36,63 %,0.0004
Trinidad and Tobago,1398579,0.0032,4515,273,5130,-800.0,1.7,36,52 %,0.0002
Réunion,894017,0.0072,6385,358,2500,-1256.0,2.3,36,100 %,0.0001
Kuwait,4257495,0.0151,63488,240,17820,39520.0,2.1,37,N.A.,0.0005
Mauritius,1271347,0.0017000000000000001,2100,626,2030,0.0,1.4,37,41 %,0.0002
Cyprus,1205577,0.0073,8784,131,9240,5000.0,1.3,37,67 %,0.0002
Iceland,340795,0.0065000000000000006,2212,3,100250,380.0,1.8,37,94 %,0.0
China,1438207241,0.0039000000000000003,5540090,153,9388211,-348399.0,1.7,38,61 %,0.18469999999999998
United States,330610570,0.0059,1937734,36,9147420,954806.0,1.8,38,83 %,0.0425
Australia,25439164,0.0118,296686,3,7682300,158246.0,1.8,38,86 %,0.0033
